                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1669,                 2.3958,                 1.8268,                0.02261,                0.73153,                0.18979,                0.03354,                 2.6068,                 2.8069,                 1.9775,                0.00062,                0.00062,                0.00062
                      2,                 1.9517,                 1.8541,                 1.7019,                 0.2792,                0.18634,                0.12191,                0.02507,                 2.7383,                 2.8677,                 2.0751,              0.0012351,              0.0012351,              0.0012351
                      3,                 2.0046,                 1.9225,                 1.7718,                0.22008,                0.34595,                0.19382,                0.04113,                 2.7607,                 2.6266,                 2.3325,              0.0018248,              0.0018248,              0.0018248
                      4,                 2.0009,                 1.8146,                 1.7788,                0.41136,                0.40544,                0.36148,                0.07618,                  2.769,                 2.6194,                  2.349,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.9759,                 1.7103,                 1.7356,                0.51006,                0.47928,                0.47384,                0.12738,                 2.4607,                  2.036,                 1.9722,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.9184,                 1.5907,                 1.6647,                0.67725,                0.50286,                0.56287,                0.16839,                 2.3058,                 1.9773,                 1.8205,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.9148,                 1.5799,                 1.6692,                0.35628,                0.42883,                0.25308,                0.06111,                 2.4312,                 2.9388,                 2.0407,               0.001802,               0.001802,               0.001802
                      8,                 1.9063,                 1.6114,                 1.6852,                0.53144,                0.51907,                0.48437,                 0.1267,                 2.4286,                 1.9838,                 1.9074,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.8407,                  1.522,                 1.6432,                0.61145,                0.65783,                0.60637,                0.17775,                 2.2945,                 1.7635,                 1.8675,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.8409,                 1.5025,                 1.6678,                0.64344,                0.64378,                0.61556,                0.17049,                 2.3958,                 1.7133,                 1.8735,              0.0016832,              0.0016832,              0.0016832
                     11,                   1.85,                 1.4885,                  1.665,                0.56858,                0.56517,                0.51166,                0.13402,                 2.3729,                 1.9016,                 1.9714,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.8192,                 1.4783,                 1.6292,                0.68177,                0.65586,                0.62978,                0.18218,                  2.264,                 1.6288,                 1.7905,               0.001604,               0.001604,               0.001604
                     13,                 1.8151,                 1.3971,                 1.6124,                0.71081,                0.73333,                0.71009,                0.21322,                 2.1919,                 1.5589,                 1.8087,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.7941,                 1.4344,                 1.6268,                0.68763,                0.64653,                 0.6282,                0.17126,                 2.3451,                 1.6893,                 1.8687,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.7834,                 1.3843,                  1.601,                0.70214,                0.67928,                0.70219,                0.19604,                 2.1733,                 1.6703,                 1.6904,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.7675,                 1.3884,                 1.5879,                0.71395,                0.66667,                0.68966,                0.21659,                 2.1884,                 1.5888,                 1.6758,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.7629,                 1.3569,                 1.5918,                0.72923,                 0.7045,                0.70564,                0.23864,                 2.0882,                 1.5121,                 1.6506,               0.001406,               0.001406,               0.001406
                     18,                 1.7506,                 1.3393,                 1.5609,                0.73347,                0.72889,                 0.7197,                0.21939,                 2.0834,                 1.6431,                  1.715,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.7401,                  1.283,                 1.5381,                0.76729,                0.71351,                0.71423,                0.21962,                 2.3318,                 1.4214,                 1.7479,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.7222,                 1.2924,                 1.5501,                0.71988,                0.72973,                0.69497,                0.21625,                 2.2016,                 1.5023,                 1.7245,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.7316,                 1.3001,                 1.5599,                0.68601,                0.73153,                0.67936,                0.21106,                 2.1501,                 1.5618,                 1.7547,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.7296,                 1.2429,                 1.5569,                0.79962,                0.73514,                 0.7684,                0.26977,                   2.09,                 1.3611,                  1.646,               0.001208,               0.001208,               0.001208
                     23,                 1.7336,                 1.2718,                 1.5393,                0.80979,                0.72874,                0.78199,                0.26659,                 2.2488,                 1.3312,                 1.6715,              0.0011684,              0.0011684,              0.0011684
                     24,                   1.69,                 1.1862,                 1.5023,                0.77327,                0.75135,                0.77197,                0.25654,                 2.2906,                 1.3302,                 1.6659,              0.0011288,              0.0011288,              0.0011288
                     25,                  1.663,                 1.1898,                  1.507,                 0.6219,                0.63604,                0.56443,                0.14289,                 2.6455,                 1.5131,                 1.9223,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.7069,                 1.2365,                 1.5188,                0.79963,                0.77117,                0.78396,                0.30616,                 2.0097,                 1.3176,                 1.6184,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.6429,                 1.1649,                  1.488,                0.79717,                0.75772,                0.78211,                0.26707,                 2.1554,                 1.3588,                 1.6255,                0.00101,                0.00101,                0.00101
                     28,                 1.6845,                 1.1744,                 1.5082,                0.80868,                0.74595,                0.78017,                0.28028,                 2.0754,                  1.352,                 1.6295,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.6801,                 1.1691,                 1.4994,                0.79448,                0.76216,                0.79517,                0.27864,                 2.0051,                 1.3938,                 1.6539,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.6996,                 1.1925,                 1.5335,                0.73586,                0.71351,                0.70464,                0.21549,                 2.2969,                 1.4585,                 1.7889,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.6528,                  1.174,                 1.5049,                0.78863,                 0.7982,                0.84386,                0.33016,                 1.9277,                  1.286,                 1.5845,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.6418,                 1.1469,                 1.4878,                0.80797,                0.78559,                0.82775,                0.32871,                 1.9529,                 1.1935,                 1.5404,               0.000812,               0.000812,               0.000812
                     33,                 1.6152,                  1.119,                 1.4582,                0.76312,                0.74775,                0.75741,                0.24846,                 2.2642,                 1.2875,                  1.676,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.5756,                 1.1093,                 1.4469,                0.80299,                0.77109,                0.79324,                0.28634,                 2.1181,                 1.2399,                 1.5829,              0.0007328,              0.0007328,              0.0007328
                     35,                  1.587,                 1.0943,                 1.4457,                0.82045,                0.77391,                0.81068,                 0.2913,                 2.0955,                 1.2575,                 1.5926,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.6016,                 1.0861,                 1.4459,                0.82011,                0.83063,                0.85043,                0.36633,                 1.8543,                 1.1943,                 1.4954,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.6089,                 1.1045,                 1.4603,                0.78653,                0.79663,                0.79624,                 0.3026,                 2.1363,                 1.2151,                 1.5818,               0.000614,               0.000614,               0.000614
